mask_area,fill_ratio,n_components,largest_component_area,largest_component_ratio,mean_component_area,std_component_area,median_component_area,skeleton_length,n_endpoints,n_junctions,endpoint_density,junction_density,branch_density,n_segments,mean_segment_length,median_segment_length,max_segment_length,std_segment_length,mean_tortuosity,median_tortuosity,max_tortuosity,orientation_mean_deg,orientation_std_deg,mean_thickness,median_thickness,max_thickness,std_thickness,group,condition,image_name
613061,0.19565110549428105,185,134901.0,0.22004498736667313,3313.8432432432433,12953.616990122053,513.0,37931,993,3029,0.0003169041053921569,0.0009666692197712419,0.012105226205065359,1831,18.9202621518296,14.0,177.0,18.306039004908865,1.0296648987538628,1.0197899142146145,1.386750490563073,83.56813227775834,46.203688667439486,17.20238664622097,13.416407864998739,100.9554357129917,12.420941453236557,N3 y N4,CTRL,Image11.tif
621550,0.1983602685866013,213,89631.0,0.14420561499477114,2918.075117370892,8947.7315967094,584.0,35660,1081,3022,0.00034498825571895427,0.0009644352532679739,0.01138046364379085,1851,17.48730415991356,13.0,157.0,15.678296974734282,1.054942615025937,1.022835750588535,2.2742708045234394,83.11396928289733,49.874676785507496,18.209799849019635,14.560219778561036,104.30723848324239,12.698322118898744,N3 y N4,CTRL,Image8.tif
613703,0.1958559921364379,195,101602.0,0.16555565151221358,3147.1948717948717,10229.199570308738,553.0,33951,963,2621,0.0003073299632352941,0.0008364608864379085,0.01083505667892157,1651,18.843731072077528,13.0,207.0,17.942564037781967,1.0181174644956843,1.0,1.552314712967963,81.56213193651014,46.90432665611459,18.700787345996055,15.231546211727817,106.0,13.042936824788882,N3 y N4,CTRL,Image107.tif
620207,0.19793166615604574,209,126676.0,0.20424793657601414,2967.497607655502,11530.781841107702,606.0,38347,996,2871,0.00031786151960784315,0.0009162454044117647,0.012237987642973857,1774,19.87260428410372,14.0,177.0,18.55102364658298,1.011611246455032,1.0065713841603692,1.462609489691974,86.16977817635836,51.78352639738194,16.13148395376097,14.0,80.62257748298549,10.042879577657644,N3 y N4,CTRL,Image110.tif
625941,0.19976160386029412,204,163099.0,0.260566091692348,3068.3382352941176,12402.225357647367,582.5,35102,1066,2979,0.00034020118464052286,0.0009507123161764706,0.011202384599673203,1807,17.624239070282236,13.0,240.0,17.15665408446375,1.0316864956572476,1.0007613392743873,1.5,91.84177736792141,44.51740230133048,18.152215152318416,15.231546211727817,97.50897394599124,11.395091890504931,N3 y N4,CTRL,Image2.tif
618978,0.19753944546568628,231,103433.0,0.16710286956886997,2679.5584415584417,9438.058948434102,558.0,36251,987,2772,0.00031498927696078433,0.0008846507352941176,0.011569074244281045,1681,19.749553837001784,15.0,157.0,18.462199305385514,1.0072856548961593,1.0146322144690791,1.2671051872498809,92.61063676122357,46.38142878888131,17.1683662870508,14.0,76.02631123499285,11.159789481722056,N3 y N4,CTRL,Image104.tif
619155,0.19759593290441177,185,131895.0,0.21302420234028635,3346.7837837837837,11455.238152549642,597.0,34100,918,2480,0.00029296875,0.0007914624183006536,0.010882608251633986,1573,19.986013986013987,14.0,152.0,19.066312698471307,1.0161725239568855,1.0188899726495868,1.3416407864998738,86.58878090074566,49.12838265460469,18.96329332270848,16.0,104.95713410721541,12.54582049643496,N3 y N4,CTRL,Image101.tif
624311,0.19924140880310456,175,190454.0,0.3050627011217166,3567.4914285714285,16897.021487272694,636.0,35829,985,2978,0.0003143510008169935,0.0009503931781045751,0.011434397977941177,1787,18.26077224398433,13.0,147.0,17.085755595914563,1.0211207166262743,1.003113655692617,1.2719974560076321,95.53625567804634,46.28161783230918,18.429125593116904,16.0,78.81624198095213,11.607623303400194,N3 y N4,CTRL,Image5.tif
635586,0.2028396905637255,146,186049.0,0.29272041863728904,4353.328767123287,20783.244788033207,434.5,51508,1035,3893,0.0003303079044117647,0.0012424045138888888,0.016438163807189543,2232,21.191756272401435,15.0,265.0,21.621043035279968,0.9829909793982321,0.987152581600082,1.5,78.49480716518117,53.13821430153714,12.414117987942452,10.198039027185569,86.55634003352961,7.771261743924699,N3 y N4,HPMC,Image39.tif
623442,0.19896407781862746,161,182818.0,0.29323978814388507,3872.3105590062114,17410.022753109817,545.0,49144,1018,3440,0.00032488255718954247,0.0010978349673202614,0.015683721405228758,2011,22.598209845847837,16.0,193.0,22.291203180000316,0.9594611319750549,0.9784796004180896,1.1659976680069961,89.32124551894167,46.05004965480914,12.49488616629533,10.198039027185569,57.201398584300364,7.750556699311424,N3 y N4,HPMC,Image146.tif
